round,n_configs,n_estimators,best_auc
1,64,50,0.7939582004172074
2,32,100,0.792564821253199
3,16,200,0.7946185994164834
4,8,400,0.790030752908623
5,4,800,0.7820616097606434
6,2,1000,0.7800902694642973
