feature,importance
pay_0,0.22462074403799265
consecutive_delays,0.09435567781876773
pay_status_max,0.08809986138593623
severe_delay_count,0.06088250953901342
limit_per_age,0.05503915489698444
consecutive_x_severe,0.05254809677876564
pay_amt1,0.049038626158862814
bill_amt_std,0.04639845828679941
severe_x_recent,0.04447441616816317
recent_pay_mean_cube,0.03740756306072652
recent_pay_x_consecutive,0.03701963411366835
pay_ratio_min,0.035471259100854906
recent_pay_mean,0.03372256412214349
bill_amt1,0.03243957973721555
pay_ratio_3,0.03097009769652925
consecutive_x_util,0.029419987472345928
severe_recent_x_pay_max,0.02934589977332104
bill_recent_vs_avg,0.027496471136592503
pay_amt_mean,0.02718591649346277
marriage,0.025723851461817493
bill_amt_max,0.023696336424415813
util_x_limit,0.022666442419065392
pay_x_limit,0.02259558930741036
pay_amt3,0.022539161725819056
util_rate_2,0.02076711569998683
util_rate_1,0.02064664112035097
age_limit,0.019991548486536764
pay_amt2,0.019926391455125925
pay_amt6,0.0197238454426936
limit_bal,0.019570363384178766
pay_amt_max,0.018248513323155705
debt_to_limit,0.018242753636570474
financial_strain,0.01812466561098582
bill_amt_mean,0.01767150119616985
pay_status_x_util,0.01762436792941421
utilization_trend,0.017444641814886575
bill_trend,0.01629233072071373
log_limit_bal,0.016273198810102783
age_utilization,0.016008780596269135
util_rate_3,0.015103151752531062
debt_x_delay,0.01465263077348918
pay_amt4,0.014581065585341758
bill_acceleration,0.014580975233231562
util_rate_max,0.013712308173845781
pay_ratio_5,0.012835808100119422
debt_to_limit_max,0.012826880742256767
pay_volatility,0.012749751706530477
pay_amt5,0.012296069601331198
pay_status_mean,0.012246279191252027
education_risk,0.01202213013621945
bill_amt2,0.011971999153765678
bill_amt5,0.011856348432639045
payment_coverage_mean,0.01150367662453271
bill_amt3,0.01133065459272018
age_x_debt,0.011274037220982549
pay_status_max_sq,0.011086262489829754
pay_5,0.010761277256388787
pay_improvement,0.010524151691688962
util_spike_x_pay,0.010457331346843287
bill_stability,0.010439778934888521
sex,0.009903510442228041
util_rate_mean,0.009866435334690053
recently_maxed_out,0.009842867504480763
recent_pay_mean_sq,0.009689852386419508
education,0.009626852897001348
bill_amt4,0.009596534291558908
bill_growth,0.009592424742600875
consecutive_x_utilization,0.009427572663026922
recent_pay_x_pay_max,0.00872980746025485
pay_ratio_1,0.008723173271205715
pay_deterioration,0.00865659278455672
minimal_payment_count,0.008582919585634752
payment_coverage_2,0.008465368158665906
bill_growth_rate,0.008348070957985934
months_maxed_out,0.00807309245344653
util_rate_5,0.007898297582042977
pay_4,0.007619235157885541
payment_coverage_1,0.007270016763915097
util_rate_6,0.0069227079691093615
pay_amt_std,0.006922688622095608
pay_3,0.006695412646064651
pay_ratio_6,0.0066109916971089245
util_increasing,0.00653743971503282
util_volatility,0.0064402470094780855
pay_ratio_2,0.006311969660679918
pay_consistency,0.006142592947730329
cash_advance_count,0.006114265882811402
historical_pay_mean,0.0059335758869515694
util_rate_min,0.005890257168528225
pay_2,0.005806197754846327
pay_ratio_max,0.005561318157744093
util_rate_std,0.005141796439890604
behavior_stability,0.0050751641968326345
age,0.005063702613171134
pay_ratio_mean,0.004845888620499933
pay_trend,0.004774574705954575
payment_volatility,0.004651239535282512
util_spike,0.004524170585926761
pay_ratio_4,0.004520470186406839
bill_amt6,0.003857125075504545
util_rate_4,0.003845027567474097
payment_ratio_x_util,0.003647311015311278
payment_capacity,0.0035992548199706405
edu_payment_interaction,0.0035618572303567787
pay_6,0.00351530409606614
pay_trend_change,0.0031824472574525017
underpayment_count,0.0031483303728614452
full_payment_count,0.0029080493801098713
maxed_x_delay,0.001524034093907312
high_limit_young,0.0010579573846894487
pays_minimum_only,0.0010205547521293537
married_high_util,0.0009455887942693469
young_high_util,0.0008618406203438094
crisis_indicator,0.00024695131599615294
