feature,importance
pay_status_max,0.21403201788852388
pay_0,0.17128457600866795
severe_x_recent,0.16763590897992825
pay_x_limit,0.08571036378338272
pay_ratio_min,0.06319608372496333
bill_amt_std,0.06254170276323681
pay_amt1,0.06010744914289752
limit_per_age,0.053968875571391295
pay_amt2,0.045411175924001505
util_rate_2,0.043437938856153595
pay_amt3,0.042661219845907726
bill_amt1,0.04238920840292192
severe_recent_x_pay_max,0.040572682905365545
pay_ratio_3,0.03752948086822224
severe_delay_count,0.03345237867421543
pay_amt_mean,0.0332053209757226
bill_recent_vs_avg,0.031241246596589625
bill_amt_mean,0.029329059601413965
util_rate_max,0.029071726516427893
consecutive_delays,0.027905022143564565
pay_ratio_4,0.025037151446216925
bill_trend,0.022159885900406566
pay_ratio_5,0.02194875576668777
util_rate_1,0.021907695378136107
pay_amt6,0.020600201957849923
bill_acceleration,0.020587818630609662
pay_trend,0.020214043375322635
utilization_trend,0.0197481704059262
pay_amt4,0.018081141017683603
pay_ratio_1,0.018059519865703737
education,0.01787113026018729
bill_amt5,0.017843431626652095
marriage,0.017082330275126865
util_x_limit,0.016893271460837446
bill_growth_rate,0.016292213854084348
bill_amt2,0.016146987916406143
age_limit,0.015893379726930883
bill_amt_max,0.015876096322389042
pay_volatility,0.015133132407192539
consecutive_x_severe,0.014228184453225618
payment_coverage_mean,0.014000351274159556
pay_ratio_2,0.013517934052851928
util_rate_3,0.012975587469717735
pay_amt_max,0.012707531523425275
pay_ratio_max,0.0123960103213824
age_utilization,0.011802208321957214
debt_to_limit_max,0.011590644205244052
payment_ratio_x_util,0.01134285632578842
pay_ratio_6,0.010660244096776074
limit_bal,0.009367360294364867
sex,0.009290158579188086
util_rate_mean,0.009000167345504736
age_x_debt,0.008816563506252269
age,0.008708626823815846
pay_ratio_mean,0.008649733957696436
pay_status_mean,0.008515080575865348
util_rate_std,0.008368957345510235
util_rate_5,0.008212105582826992
pay_deterioration,0.007342321413779787
edu_payment_interaction,0.00704591577971493
pay_amt5,0.006845815601274756
bill_amt4,0.006836532693383506
pay_status_x_util,0.006725818458675191
consecutive_x_util,0.006616182135939915
debt_to_limit,0.006094210256099659
util_volatility,0.0060181845525815745
util_rate_6,0.005902793225499893
bill_amt3,0.005854489648690886
bill_stability,0.005758148266841565
behavior_stability,0.005724584152100462
util_spike,0.005550926487073392
util_rate_min,0.005048893005616534
education_risk,0.004962091741399884
util_spike_x_pay,0.004919346456517629
pay_amt_std,0.004706736096374164
payment_capacity,0.004496735219524347
pay_improvement,0.004339029538200857
pay_consistency,0.004306746072108298
maxed_x_delay,0.004222234876048947
bill_amt6,0.004200539467941219
recent_pay_mean,0.003880252458511065
payment_coverage_1,0.003735799590140149
pay_3,0.0037222116204822368
log_limit_bal,0.0037051166143922238
pay_2,0.003683962008599579
util_rate_4,0.003559254079646831
bill_growth,0.0034784873255027135
pay_4,0.003228886460175563
debt_x_delay,0.003147010789733847
pay_trend_change,0.002941866147868802
pay_6,0.0028296465964098203
recent_pay_x_pay_max,0.00280033297373115
pay_status_max_sq,0.002727172489999362
payment_coverage_2,0.002707988877672316
historical_pay_mean,0.002667092763657576
minimal_payment_count,0.0026150664592426973
pay_5,0.0021991041318753317
payment_volatility,0.0021460310035386117
months_maxed_out,0.0019924740817207067
recent_pay_x_consecutive,0.0014237034212032892
financial_strain,0.0014146030148234554
recent_pay_mean_sq,0.0011284461242881795
consecutive_x_utilization,0.0007854155352794477
young_high_util,0.0007819014749037536
underpayment_count,0.0005741157401051925
recent_pay_mean_cube,0.000539648747155503
high_limit_young,0.0004938098725609803
full_payment_count,0.00036971294930809775
cash_advance_count,0.0001383530227185059
married_high_util,9.161758229961666e-05
pays_minimum_only,7.013251650691231e-05
crisis_indicator,2.2602037715000195e-05
util_increasing,0.0
recently_maxed_out,0.0
