lgb_param,lgb_importance
learning_rate,0.7725487936245388
max_depth,0.07748254494479943
reg_alpha,0.04387900715707439
colsample_bytree,0.04251592416265904
reg_lambda,0.029405113730843306
subsample_freq,0.014310324532285354
min_child_samples,0.010336774379806835
min_child_weight,0.0025066089238311375
num_leaves,0.00196251260926551
boosting_type,0.0016593900273347106
n_estimators,0.001563888312112569
min_gain_to_split,0.0012797287343966185
subsample,0.000549388861052551
