xgb_param,xgb_importance
max_depth,0.6050233077599826
gamma,0.11725962164440279
learning_rate,0.08724590714197919
min_child_weight,0.06742002560670224
reg_alpha,0.030843063320870615
n_estimators,0.03066028065037154
reg_lambda,0.020527183986691427
colsample_bylevel,0.016159229322622298
colsample_bytree,0.01403360086532143
subsample,0.00871150062332972
booster,0.0021162790777261562
