,Baseline,Tuned,Improvement (%)
Accuracy,0.757,0.7648333333333334,1.0347864376926497
Precision,0.46042296072507555,0.47588978185993114,3.359263645431234
Recall,0.5742275810097965,0.624717407686511,8.792650918635175
F1 Score,0.5110663983903421,0.5402411208862822,5.708597275780407
ROC AUC,0.760378650720174,0.7793206205831219,2.4911233166538165
