method,train_samples,class_0,class_1,val_auc,test_auc
Baseline (No SMOTE),20400,15887,4513,0.7922525430289823,0.7842687980834279
SMOTE,31774,15887,15887,0.789146785998466,0.7753787208693466
Borderline SMOTE,31774,15887,15887,0.7883329360783948,0.7766087503271613
ADASYN,32257,15887,16370,0.7871098090308891,0.7744428341491334
SMOTE-Tomek,30872,15436,15436,0.7883622821668973,0.7748280901799061
Partial SMOTE (2:1),23830,15887,7943,0.7931519670391902,0.7793487608834023
