iter	Logloss
0	0.6905503613
1	0.6878407866
2	0.6854348983
3	0.6830847265
4	0.6806854067
5	0.6785427255
6	0.67628212
7	0.674134437
8	0.6718854166
9	0.6696812415
10	0.6677043049
11	0.6657397001
12	0.6636511945
13	0.6616472546
14	0.6597003329
15	0.6578143604
16	0.6560547427
17	0.6544109475
18	0.6525857687
19	0.6508260405
20	0.6488686778
21	0.6469908719
22	0.645293737
23	0.6436879292
24	0.6421567637
25	0.6406358872
26	0.639155934
27	0.6376476321
28	0.6361895116
29	0.6348467009
30	0.6332743982
31	0.6319298063
32	0.6306314891
33	0.6293181968
34	0.6280439293
35	0.6266762265
36	0.6254108546
37	0.6241610726
38	0.6229268333
39	0.6215988644
40	0.6204167798
41	0.6191317589
42	0.6181532648
43	0.6170566073
44	0.615941049
45	0.6148389593
46	0.6139337776
47	0.6127267195
48	0.6116484853
49	0.610664491
50	0.6094947024
51	0.6085874583
52	0.6076152795
53	0.6066928638
54	0.6056100383
55	0.6046217208
56	0.6036890193
57	0.602845865
58	0.6020370972
59	0.6012342596
60	0.6003343388
61	0.5996509151
62	0.5986998129
63	0.5979592416
64	0.5972307554
65	0.5965448385
66	0.5957800897
67	0.5951571603
68	0.5943547066
69	0.5934810277
70	0.5926364705
71	0.5920137258
72	0.5913677298
73	0.5906575193
74	0.5901293358
75	0.5894272418
76	0.588803087
77	0.5882664789
78	0.5875694823
79	0.5869984262
80	0.5864564965
81	0.5859665223
82	0.5854488571
83	0.5848324318
84	0.5842449014
85	0.5836314459
86	0.5831724509
87	0.5826669782
88	0.5821611946
89	0.5816175085
90	0.5812146307
91	0.5807433472
92	0.5802427241
93	0.5798082761
94	0.5793940483
95	0.5789375252
96	0.5784813813
97	0.5779990739
98	0.577467255
99	0.577040684
100	0.5766085849
101	0.5763196326
102	0.5759637218
103	0.5754701877
104	0.5750232217
105	0.574661329
106	0.5743543914
107	0.5739028725
108	0.5735597029
109	0.5731895616
110	0.5728486965
111	0.5723991357
112	0.5720761058
113	0.571728758
114	0.5714535867
115	0.5711495055
116	0.5708671337
117	0.5705133594
118	0.5702641858
119	0.5698374031
120	0.569506132
121	0.5691971007
122	0.5689373433
123	0.5686834542
124	0.56839701
125	0.5681416952
126	0.5678808922
127	0.5675445053
128	0.5672557994
129	0.5668924799
130	0.5666567835
131	0.5663214442
132	0.5660887564
133	0.5657773151
134	0.5654840932
135	0.5652301423
136	0.5648888564
137	0.5646351767
138	0.5643039682
139	0.5639999134
140	0.5637808178
141	0.5635382801
142	0.5633574172
143	0.5631090849
144	0.5628847112
145	0.5626290934
146	0.5624471946
147	0.5622383038
148	0.5620120915
149	0.5617800878
150	0.5615090342
151	0.5613089968
152	0.5611390676
153	0.5609795721
154	0.5607753832
155	0.5605725702
156	0.5603725903
157	0.5600985327
158	0.559841139
159	0.5596081734
160	0.5593720263
161	0.5591790516
162	0.5589975912
163	0.5588365234
164	0.5586769808
165	0.5585091798
166	0.5583418009
167	0.5581356064
168	0.5579574999
169	0.5578062086
170	0.557671086
171	0.5574978452
172	0.5573695668
173	0.5572119425
174	0.5570761352
175	0.5569306245
176	0.556754913
177	0.5565734404
178	0.5564261222
179	0.5562705221
180	0.5561011221
181	0.5559664426
182	0.5558121989
183	0.5556648796
184	0.5555380349
185	0.5553678295
186	0.5552156887
187	0.5550749509
188	0.5549197052
189	0.5547870729
190	0.5546848192
191	0.554538843
192	0.5544131469
193	0.5542536004
194	0.5540893561
195	0.5539238158
196	0.5537747533
197	0.5536154095
198	0.5534955663
199	0.5533099433
200	0.5531541937
201	0.5530366515
202	0.5529332898
203	0.5527961619
204	0.5526935582
205	0.5526027417
206	0.5524575352
207	0.5523217103
208	0.5522146101
209	0.5520711335
210	0.5519008998
211	0.5518049678
212	0.5517117738
213	0.5515776151
214	0.5514737518
215	0.5513478386
216	0.5511974267
217	0.5511110245
218	0.5509812189
219	0.5508784427
220	0.5507547789
221	0.550639334
222	0.5505456789
223	0.550443055
224	0.5503500941
225	0.5502441588
226	0.5501581544
227	0.5500336794
228	0.5499405307
229	0.549847995
230	0.5497338912
231	0.5496453065
232	0.5495399882
233	0.5494397802
234	0.5493341659
235	0.5492061922
236	0.549104859
237	0.5489806648
238	0.5488880665
239	0.5487822566
240	0.5486992201
241	0.5485516831
242	0.5484790623
243	0.5483814049
244	0.5483042941
245	0.5482187406
246	0.5481227208
247	0.5480601146
248	0.5479552748
249	0.5478487884
250	0.5477897116
251	0.5477215049
252	0.5476313131
253	0.547551443
254	0.5474896128
255	0.5473828163
256	0.5472970977
257	0.5472057065
258	0.5471167133
259	0.5470338004
260	0.5469446666
261	0.5468776901
262	0.5468074057
263	0.5466703106
264	0.5465852066
265	0.5464996255
266	0.5463836756
267	0.5463130481
268	0.5462197527
269	0.5461509962
270	0.5460436171
271	0.5459474589
272	0.5458686727
273	0.5457708938
274	0.5456861363
275	0.5456095685
276	0.5455298719
277	0.5454382833
278	0.5453483231
279	0.5452495735
280	0.5451717543
281	0.5451063901
282	0.5450428821
283	0.5449784907
284	0.5449144321
285	0.5448372866
286	0.5447626517
287	0.5446770709
288	0.5445906176
289	0.5445254629
290	0.5444530894
291	0.5443820029
292	0.5443503028
293	0.5442748262
294	0.5441932719
295	0.5441124642
296	0.5440331521
297	0.543956186
298	0.5438731723
299	0.5437918794
300	0.5437115211
301	0.5436306338
302	0.5435403979
303	0.5434726575
304	0.5434155375
305	0.5433453698
306	0.5432563598
307	0.5431784094
308	0.5431300672
309	0.5430503785
310	0.5429590071
311	0.5428821049
312	0.542846464
313	0.5427468497
314	0.5427003385
315	0.5426328514
316	0.542563543
317	0.5424652212
318	0.5424118801
319	0.5423359888
320	0.5422573184
321	0.5421611876
322	0.5420984011
323	0.5420267372
324	0.5419417858
325	0.5418634516
326	0.5417874385
327	0.5417132839
328	0.541642929
329	0.5415724293
330	0.5415028426
331	0.5414387414
332	0.5413535421
333	0.5412601115
334	0.5412242863
335	0.5411507015
336	0.5410887825
337	0.5410204367
338	0.5409397782
339	0.54089317
340	0.5408478158
341	0.5407981573
342	0.5407191511
343	0.5406513577
344	0.5405925299
345	0.5405324411
346	0.5404759258
347	0.5403941245
348	0.5403238348
349	0.5402957171
350	0.5402484794
351	0.5401726276
352	0.5401040038
353	0.540006878
354	0.5399535582
355	0.5399036103
356	0.5398499964
357	0.5397794417
358	0.5397185297
359	0.5396690683
360	0.5396198991
361	0.53953227
362	0.5394529072
363	0.5393608914
364	0.5393274797
365	0.539240681
366	0.5391694849
367	0.539109357
368	0.5390487678
369	0.539004557
370	0.5389638275
371	0.5389025714
372	0.5388706533
373	0.5387985408
374	0.5387229296
375	0.5386701392
376	0.5386220506
377	0.5385556683
378	0.5384812652
379	0.5384484203
380	0.5383989823
381	0.5383303972
382	0.5382836853
383	0.5382313054
384	0.5381577515
385	0.5380879952
386	0.538033616
387	0.5379933248
388	0.5378773607
