name,test_auc,improvement_vs_avg,vs_baseline
Extra Trees,0.7832669550147062,0.019133791566006142,-0.1033044985293774
Ridge Classifier,0.7830225617478013,-0.005305535124489058,-0.1277438252198726
Logistic Regression (L2),0.7829772469949142,-0.009837010413193958,-0.1322753005085775
MLP (Neural Net),0.7829549927746351,-0.012062432441106719,-0.13450072253649026
Logistic Regression (L1),0.7829222564940798,-0.015336060496640158,-0.1377743505920237
Random Forest,0.7824138765706763,-0.06617405283698696,-0.1886123429323705
LightGBM (Shallow),0.7820489396105931,-0.10266774884530872,-0.22510603894069225
XGBoost (Shallow),0.7798782661898244,-0.31973509092217967,-0.4421733810175632
